Date,High,Low,Open,Close,Volume
2007-01-02,56310.379957932695,55812.791917067305,56144.517277644234,56061.5859375,685537.0
2007-01-03,56890.90162250739,55978.656844303914,56144.51953125,56144.51953125,861362.0
2007-01-04,55978.6577902455,54817.61896200338,55978.6577902455,55315.20703125,1219259.0
2007-01-05,55481.06147707695,53988.29749114663,54817.61081666347,54154.16015625,1359937.0
2007-01-08,53822.44921875,53076.06702619415,53076.06702619415,53822.44921875,886974.0
2007-01-09,54734.68495639535,53076.058139534885,53822.4402071221,53490.71484375,1190861.0
2007-01-10,53407.784424212594,52163.81429010827,53076.05905511811,52661.40234375,1088401.0
2007-01-11,53573.64831523866,52578.47218554382,52578.47218554382,52993.12890625,730780.0
2007-01-12,53905.36804199219,52827.260681152344,53490.711364746094,53076.0546875,1480822.0
2007-01-15,53324.854877632606,52744.335462168485,53241.9235325663,53158.9921875,825325.0
2007-01-16,54568.82576923077,52827.2675,52910.19884615384,53905.375,1667538.0
2007-01-17,54983.48309887845,53739.51289302147,54734.68905770705,54071.23828125,1150767.0
2007-01-18,54651.75203716242,53739.50731423558,54651.75203716242,54353.19921875,750181.0
2007-01-19,53822.43670654297,52993.12335205078,53822.43670654297,53076.0546875,891958.0
2007-01-22,54237.09523751935,52827.262486696985,52993.12516326432,53573.64453125,619116.0
2007-01-23,54071.23709972994,53241.92364728009,53241.92364728009,53739.51171875,513358.0
2007-01-24,55646.931343283584,54237.09850746269,54320.02985074627,55564.0,1591639.0
2007-01-25,56393.309915413534,54568.820476973684,56393.309915413534,55149.33984375,903100.0
2007-01-26,55646.927872415414,54237.095124530075,54320.02646264098,55149.33984375,777070.0
2007-01-29,56061.58913511994,54900.55030687781,55149.34434150113,55315.20703125,1071146.0
2007-01-30,55812.785559739896,55149.33491415606,55315.197575552025,55398.12890625,467571.0
2007-01-31,56559.17046618852,55398.13177626676,55481.06311126117,55646.92578124999,734070.0
2007-02-01,56973.83583984375,55564.0029296875,55564.0029296875,56393.31640625,1210336.0
2007-02-02,58134.86823401683,56642.10414241583,56890.89815768266,57886.07421875,2061911.0
2007-02-05,57969.00555717228,56061.58477345989,57969.00555717228,57886.07421875,1763378.0
2007-02-06,57886.08362771739,56393.31929347826,57886.08362771739,57222.6328125,1248838.0
2007-02-07,57637.28671988719,56642.1105463064,57222.629980895195,56973.8359375,699625.0
2007-02-08,57139.695652926515,55978.656844303914,56973.83296598043,56144.51953125,1265964.0
2007-02-09,56890.904492187496,55812.79697265625,55812.79697265625,56393.31640625,643128.0
2007-02-12,57222.62152144161,55812.78881729015,55812.78881729015,56807.96484375,710280.0
2007-02-13,57222.629980895195,56144.52245951601,56393.316502911206,56973.8359375,639000.0
2007-02-14,58383.66285714286,57471.418125000004,57886.07482142857,58051.9375,1247322.0
2007-02-15,58881.251502403844,58134.869441105766,58881.251502403844,58217.80078125,763871.0
2007-02-16,59793.50048009777,58300.73625174581,58798.324327863134,59378.84375,1453010.0
2007-02-20,60705.74431818182,59627.636837121216,59710.568181818184,60208.15625,1250386.0
2007-02-21,61452.13158711472,60291.09266374144,61120.40618043664,60539.88671875,1233062.0
2007-02-22,60871.59682112069,59710.558189655174,60788.665490301726,60125.21484375,1260848.0
2007-02-23,60042.28723450557,58881.24853107591,59793.49322662779,59544.69921875,1592999.0
2007-02-26,59047.1143335684,57969.006908938645,58881.25165285613,58798.32031249999,1763187.0
2007-02-27,58881.249219864476,57471.416492064905,58881.249219864476,58134.8671875,1091087.0
2007-02-28,57637.27734375,56310.37599482914,56393.307329136696,57637.27734375,1162436.0
2007-03-05,57388.491489751104,56144.52129849927,56310.38399066618,56642.109375,1670998.0
2007-03-06,57720.21471335268,56973.832626542084,56973.832626542084,57139.6953125,1121681.0
2007-03-07,57471.41552805657,56476.23950159672,57471.41552805657,56807.96484375,1151881.0
2007-03-08,56393.314156848304,55812.79474641016,56310.3828125,56310.3828125,1519201.0
2007-03-09,56725.0389355613,55812.79415735783,56559.176248615215,56144.51953125,1092960.0
2007-03-12,57388.49551630435,56227.456589673915,56393.31929347826,57222.6328125,937286.0
2007-03-13,57222.6355799016,56559.1847325984,57139.7042239887,56890.91015625,629245.0
2007-03-14,56559.17684554492,55895.72609075847,55978.657435106776,56310.3828125,560293.0
2007-03-15,57056.7644371345,56144.51965688962,56559.17637518275,56725.0390625,590200.0
2007-03-16,57056.76610541728,56393.315336749634,57056.76610541728,56642.109375,479497.0
2007-03-19,57222.629980895195,56476.24785070961,56807.9732419032,56973.8359375,475293.0
2007-03-20,56973.826283727976,55978.650278772024,56973.826283727976,56476.23828125,830538.0
2007-03-21,56559.17397836538,55729.86057692308,56393.31129807692,56061.5859375,775960.0
2007-03-22,56559.175044112184,55563.99894362927,56393.312360698365,55812.79296875,1053000.0
2007-03-23,55978.6577902455,54734.68761712894,55564.001065873315,55315.20703125,1287545.0
2007-03-26,55232.274498020364,54402.961067119155,54900.54912565988,54983.48046875,1020431.0
2007-03-27,55729.862556561086,54402.961067119155,54734.68643947964,54983.48046875,737800.0
2007-03-28,54900.54839210627,53905.372288321865,54568.823024178135,54237.09765625,1501627.0
2007-03-29,54817.61538048664,53988.30198592557,54237.09600429389,54320.02734375,897332.0
2007-03-30,55398.1405304463,54320.03300515318,54651.758397551064,54817.62109375,1089786.0
2007-04-02,57803.148220168376,56061.589952415816,56227.45264458273,56642.109375,3265362.0
2007-04-03,57305.561230468746,56144.52236328125,57222.6298828125,56393.31640625,1162700.0
2007-04-04,56642.11203729538,55398.1417875744,56476.249337332585,55729.8671875,1622717.0
2007-04-05,56310.38485946884,54983.483301661036,55812.79677529091,55232.27734375,1257232.0
2007-04-06,55315.20068285281,54154.161987860396,55149.338012139604,54651.75,1622198.0
