Date,High,Low,Open,Close,Volume
2007-01-02,26863.126186887148,26422.723365504407,26816.79773575167,26538.638671875,653901.0
2007-01-03,26631.390800722504,25912.82704054705,26631.390800722504,26005.578125,657980.0
2007-01-04,27118.126953125,26190.99087305173,26353.23465497557,27118.126953125,2165663.0
2007-01-05,29018.726961064214,27234.041704160736,27628.021946884222,28810.060546875,2605812.0
2007-01-08,28508.735774880548,27442.614327831438,28276.999307391987,28161.083984375,1120157.0
2007-01-09,28137.918381638476,27396.28453241109,28137.918381638476,27697.513671875,832979.0
2007-01-10,28230.668712706683,26816.7995569901,27697.512927674423,27373.025390625,1203781.0
2007-01-11,28670.980124244605,27581.692650220706,27581.692650220706,28276.998046875,1308209.0
2007-01-12,28578.319904612832,27604.85368258454,28045.258343238176,27813.427734375,1138921.0
2007-01-15,27998.839003718847,27234.04092216099,27813.431001964313,27674.349609375,1007978.0
2007-01-16,27952.508024957202,27257.20268986167,27512.10335231413,27535.267578125,822781.0
2007-01-17,27952.511218417007,27234.041575428393,27581.693359375,27581.693359375,965146.0
2007-01-18,28670.98113345836,27628.022078445905,27628.022078445905,28578.32421875,1239270.0
2007-01-19,29737.195567716455,28184.24682932226,28670.979994476922,28508.734375,2711056.0
2007-01-22,28508.73755382762,27628.02406152186,28508.73755382762,27767.10546875,843993.0
2007-01-23,28276.999448490285,27581.694017371563,27697.51516242107,27929.34765625,683271.0
2007-01-24,29273.625,28091.588353806586,28091.588353806586,29273.625,1188688.0
2007-01-25,30131.272637753438,29204.134737852342,30131.272637753438,29435.873046875,1317183.0
2007-01-26,30363.00679042153,29041.88875140125,29180.968289669523,30061.681640625,1578662.0
2007-01-29,30965.654293850577,30154.4336476363,30455.756941555133,30363.005859375,1117709.0
2007-01-30,30339.845074053796,29435.873243147427,30108.012584941993,29621.28125,833387.0
2007-01-31,29969.024656561443,28670.978515625,29621.278722522824,28670.978515625,976568.0
2007-02-01,30270.256928593455,29088.218380076247,29134.546835192374,29737.1953125,1642706.0
2007-02-02,30015.354770886544,29204.134056999945,29945.767908813163,29899.439453125,2068986.0
2007-02-05,30849.73713912082,29505.456761337296,30131.269421724588,30363.005859375,2157913.0
2007-02-06,30478.925848940406,29667.705078125,30363.010523044304,29667.705078125,1504012.0
2007-02-07,30339.8458697711,29366.381327718133,29667.7046637103,30316.681640625,1291484.0
2007-02-08,30154.43364457183,29528.620984248137,30131.26941866247,29760.357421875,707339.0
2007-02-09,30270.256968079175,29760.359578878655,29760.359578878655,29945.767578125,952908.0
2007-02-12,29922.600739256806,29157.802734787343,29551.78477312441,29389.541015625,1511355.0
2007-02-13,29876.276675280904,28624.653035987678,29690.86866498862,28740.568359375,1942121.0
2007-02-14,30571.58130414604,29204.134709201495,29204.134709201495,30247.09375,2491594.0
