ticker,weight
AAPL,0.0012499145684016168
ABT,0.005837012290868896
ADBE,-0.0018439816975372326
ADI,-0.0008153637448470542
ADP,-6.446761708237006e-05
ADSK,-0.0027125303412039396
AIG,0.0019397592571089584
AMAT,-0.002851947307663835
AMD,-0.003513982138202125
AMGN,0.0033574950683358043
APD,-0.008205961358583178
AXP,-0.00998823816905132
BA,0.000456615124081375
BAC,-0.003553467156900212
BDX,0.010945668130378016
BK,-0.004655616662539113
BMY,0.001355055864446417
BRK,0.016760448558189863
C,-0.01950485538464038
CAT,0.0027253294721334568
CDNS,-0.00934657956593818
CI,1.2580574334240344e-05
CL,-0.011422562977631156
COP,0.011264362048612045
COST,0.007672301744380595
CSX,-0.01114234040448557
CVS,-0.007119143747980078
CVX,0.004932886997337513
D,0.02521749401529105
DE,-5.0551509631756525e-05
DHR,0.00031751896113514123
DIS,0.010156540144274525
DUK,-0.00943143657173509
ECL,0.0065543011292972814
EMR,-0.013862981208511751
EOG,-0.003080051626652886
EXC,0.004257602441171844
F,-0.001476653107671645
FDX,0.009473819687672688
FISV,-0.0017952088839505455
GD,0.0018493768214053294
GE,0.008359683961537884
HD,-0.002671342607338127
HON,-0.010650357687400936
HUM,0.0007039152732015169
IBM,0.010938204553251113
INTC,0.004904215589693017
ITW,-0.007026046101489101
JNJ,-0.012403091950560451
JPM,0.010834621829518288
KLAC,-0.005825404354715983
KMB,0.005144147185878886
KO,-0.0018477470956059765
LLY,0.01736873263962977
LMT,0.008284624939043105
LOW,-0.004373679337859202
LRCX,0.003089636334888054
MCD,0.0009536498507002571
MCO,0.007268634383668096
MMC,0.0029355373186638915
MMM,0.0213937868046845
MNST,0.00099075611571753
MO,-0.00038963492512222544
MRK,-0.0005196106863611015
MS,-0.0025310068390090347
MSFT,0.010789504808335846
MSI,0.004776854760205411
MU,0.0034083352267016485
NEE,0.020336073200597302
NEM,0.005083838816280303
NKE,-0.002124009116272403
NOC,0.005833348482803176
NSC,-0.003340900646424318
ORCL,0.0021892200476094957
PAYX,0.00384831185019914
PEP,0.0016244893740773834
PFE,-0.007019064965669356
PG,0.01714741193409173
PGR,-0.0037353926529886464
PNC,-0.0006805568379685791
RTX,-0.00801832878169101
SCHW,-0.0045073075647624515
SHW,0.0021459927579795543
SO,0.004420476373100244
SPGI,0.004788664039760162
SYK,-0.002404486844872096
T,-0.0025905604113487155
TFC,0.01695931848447112
TGT,0.002267578198417163
TJX,0.0013345388045327938
TMO,0.00605039814669011
TXN,0.004542527476314102
UNH,-0.005936304158096151
UNP,0.013796104643401886
USB,-0.000946755352116547
VZ,-0.004834487651549537
WFC,-0.003897485738661141
WM,0.0016369009709519715
WMT,0.020699458674336604
XOM,0.006470285514871407
