ticker,weight
AAPL,-0.0009994869157132914
ABT,0.03315874654797338
ADBE,-0.011210649190412236
ADI,-0.0062095374138156755
ADP,-0.000274647918118661
ADSK,-0.017072464331003834
AIG,0.007199800643634594
AMAT,-0.03160639466792713
AMD,-0.02400818248009006
AMGN,0.015345989580741404
APD,-0.0399218125170737
AXP,-0.05908217147519476
BA,-0.006238692544808869
BAC,-0.018007268216773443
BDX,0.06695001781442596
BK,-0.0069470288410420095
BMY,0.009527411798235857
BRK,0.09316926171683303
C,-0.09849823034239438
CAT,-0.007231835128841169
CDNS,-0.05571276084667708
CI,0.0029791133088113565
CL,-0.07360682730587652
COP,0.07016174397551518
COST,0.06534816944731985
CSX,-0.059113718978890915
CVS,-0.014483295159459054
CVX,0.04052653072240601
D,0.1647427613738625
DE,-0.010837321276094986
DHR,-0.024424740507904535
DIS,0.07989915925532112
DUK,-0.046898698807432096
ECL,0.02454356622327242
EMR,-0.04360103552263809
EOG,-0.029199553752081914
EXC,0.042228951534107384
F,-0.00771177155190476
FDX,0.06776347512122799
FISV,-0.03187652217016234
GD,0.021269182429464968
GE,0.0834596186275072
HD,-0.04026761931664794
HON,-0.07055611716446505
HUM,0.004292252347372442
IBM,0.092101260881972
INTC,0.0372013730114539
ITW,-0.03500950526168826
JNJ,-0.06298000272734311
JPM,0.04261880142270316
KLAC,-0.02938876020293541
KMB,0.04528255027144175
KO,0.012728936023129857
LLY,0.0852320542048602
LMT,0.06674104861823789
LOW,-0.014720786878550668
LRCX,0.0034202268633902445
MCD,-0.0034137881160157184
MCO,0.051015476107396894
MMC,0.029406955277090606
MMM,0.13671645143482355
MNST,-0.009894113806323566
MO,-0.018646632623392296
MRK,-0.010850506722592497
MS,-0.006173147212286237
MSFT,0.04338614926926157
MSI,0.05068831101534123
MU,0.02469782233887323
NEE,0.1039080268917186
NEM,0.04729386437664076
NKE,-0.027661497360428847
NOC,0.01349592396824924
NSC,-0.028624957039593828
ORCL,0.008204855341464425
PAYX,-0.005784735928209409
PEP,0.037382896455582716
PFE,-0.029048912487464718
PG,0.08590113049926096
PGR,-0.037906098358401426
PNC,0.01212905715443268
RTX,-0.05602383742767623
SCHW,-0.05117705186016642
SHW,0.009452315691193921
SO,-0.005069848206418735
SPGI,0.02017083457555929
SYK,-0.013185260703560922
T,-0.006882258972798242
TFC,0.11307281825584002
TGT,0.011938154657805062
TJX,-0.009648309731223787
TMO,0.04438538394429404
TXN,0.030118835430827166
UNH,-0.060586835382937625
UNP,0.07647077854199469
USB,-0.006396769076282815
VZ,-0.02011086000599411
WFC,-0.04630600648401392
WM,0.004701903347312167
WMT,0.15253606088972663
XOM,0.04612285768983237
