ticker,weight
AAPL,-0.00020318143517505897
ABT,0.004382938684315201
ADBE,-0.0014880860116871346
ADI,-0.0008343514518630207
ADP,-3.559397390416663e-05
ADSK,-0.0022715490740781055
AIG,0.0009181501448638409
AMAT,-0.004313004231307635
AMD,-0.0032089589406837106
AMGN,0.0019957515138255555
APD,-0.005218531960960034
AXP,-0.007830119452484388
BA,-0.0009019015830155054
BAC,-0.0023610821957622675
BDX,0.0088908370510298
BK,-0.0007465115584068724
BMY,0.001275618282454646
BRK,0.01229729243741669
C,-0.012911241927763266
CAT,-0.001155516212509104
CDNS,-0.007387275468790601
CI,0.0004191945907855318
CL,-0.009805547184239547
COP,0.009328098469608843
COST,0.008828572481016688
CSX,-0.007777166403475764
CVS,-0.0016864003970267114
CVX,0.00546705939003063
D,0.021963903748603734
DE,-0.0015250566762893855
DHR,-0.0034587759496776836
DIS,0.010756161015387912
DUK,-0.006139802657899735
ECL,0.003132520282475418
EMR,-0.005454248398438
EOG,-0.003962800694564176
EXC,0.005740106740344875
F,-0.0010138783855641721
FDX,0.009079398268351439
FISV,-0.004403859094253803
GD,0.0029060378664209933
GE,0.011348094120053161
HD,-0.005542094709605763
HON,-0.0094137273274116
HUM,0.0005700797758503178
IBM,0.012437432679765735
INTC,0.004999997615187375
ITW,-0.0045837833349115465
JNJ,-0.008258679869515317
JPM,0.005466182901655664
KLAC,-0.003852350611552473
KMB,0.006126043465186135
KO,0.0018871166499350087
LLY,0.011147272758818735
LMT,0.008994824351157924
LOW,-0.0018572886460106442
LRCX,0.0003277486315827624
MCD,-0.0005290860849515432
MCO,0.006827972293190107
MMC,0.0039996247206871265
MMM,0.018204307703907158
MNST,-0.0014440828428765847
MO,-0.0026096642048215987
MRK,-0.0015038502825527138
MS,-0.0007434538916406089
MSFT,0.005576852740405108
MSI,0.006907517203552522
MU,0.003311604819034612
NEE,0.013632178582648872
NEM,0.0064133787853267515
NKE,-0.0037939425877053785
NOC,0.0016111606661114858
NSC,-0.003867910686289409
ORCL,0.0010471712021097325
PAYX,-0.0010073244266577805
PEP,0.00518906313653358
PFE,-0.0037449009194486767
PG,0.01125356352001659
PGR,-0.005157195491884093
PNC,0.0017432108506298014
RTX,-0.007497087441565909
SCHW,-0.006988489804034413
SHW,0.0012248043259487221
SO,-0.0009363527031290369
SPGI,0.002604649037650127
SYK,-0.0017382519466952013
T,-0.0008408131628033985
TFC,0.01509278282584517
TGT,0.0015701121371730225
TJX,-0.001426870451329153
TMO,0.005954419884866318
TXN,0.00401856077480918
UNH,-0.008244197912232456
UNP,0.010091101905211777
USB,-0.0008552823757638636
VZ,-0.002593724124626201
WFC,-0.006332545988801318
WM,0.0005813823504414991
WMT,0.020468692768944537
XOM,0.006177503565309492
