ticker,weight
AAPL,5.92841747915075e-17
ABT,0.0
ADBE,0.0
ADI,0.0
ADP,5.562268361745424e-16
ADSK,1.1234082992944849e-16
AIG,5.02006806145869e-16
AMAT,0.0
AMD,0.0
AMGN,4.538090498391594e-16
APD,0.0
AXP,4.714396199267009e-16
BA,2.1814870512142713e-17
BAC,6.145567962941273e-17
BDX,0.0
BK,3.20432117513018e-16
BMY,1.3206275767968138e-16
BRK,2.583154371779224e-16
C,0.0
CAT,0.0
CDNS,0.0
CI,0.0
CL,5.900690930307908e-17
COP,0.0
COST,0.0
CSX,0.0
CVS,0.0
CVX,0.0
D,0.06239613383085318
DE,0.0
DHR,2.138479130456212e-16
DIS,2.2099071489440879e-16
DUK,0.013448252413156479
ECL,0.0
EMR,2.668926490540249e-16
EOG,0.0
EXC,0.0
F,1.3718495057263032e-16
FDX,5.017626392068499e-17
FISV,2.276731219432565e-16
GD,0.0
GE,0.17190450392079884
HD,1.5198916091470294e-17
HON,0.0
HUM,3.3415287730635816e-16
IBM,0.0
INTC,0.0
ITW,0.0
JNJ,0.0
JPM,0.0
KLAC,6.630732950314652e-16
KMB,0.0
KO,9.456561615289672e-17
LLY,0.0
LMT,2.218455991464802e-16
LOW,5.010523600364516e-16
LRCX,0.0
MCD,0.0
MCO,0.0
MMC,0.0
MMM,9.688366883496366e-18
MNST,3.5998582837943157e-16
MO,4.8739707472951126e-17
MRK,0.0
MS,4.859555189773155e-16
MSFT,0.0
MSI,3.3189733150838204e-17
MU,3.7731289485819316e-17
NEE,0.0
NEM,0.08805523864794497
NKE,4.698592456193016e-16
NOC,0.0
NSC,8.549643190702871e-17
ORCL,0.0
PAYX,0.0
PEP,0.0
PFE,0.0
PG,0.0
PGR,1.8036316390697618e-16
PNC,3.366764228964207e-16
RTX,1.4770353185871137e-16
SCHW,5.179357367336171e-16
SHW,0.0
SO,0.0
SPGI,2.2311578586000537e-17
SYK,1.2974765535714279e-18
T,0.3382262266994638
TFC,3.2800412315277407e-17
TGT,0.0
TJX,7.141823743941844e-17
TMO,0.0
TXN,0.0
UNH,1.0501391652534775e-16
UNP,1.1528838890856887e-16
USB,0.0
VZ,0.15948546353038384
WFC,0.0
WM,2.0208150876061422e-16
WMT,0.0
XOM,0.16648418095740014
