permno,date,year,exchcd,siccd,retadj,eretadj,altprc_lag1,ME_lag1,ME_Jun,BM
81893,20121231,2012,3,5961,-0.005381118,-0.005481118,11.149999619,53.096298183,57.72247184,0.5067605516
81912,20121231,2012,1,3674,0.056862738,0.056762738,10.199999809,1724.5241678,1812.2435589,0.940917291
81925,20121231,2012,1,3624,-0.031958707,-0.032058707,9.6999998093,1301.5556744,1388.4612451,0.691180467
82107,20121231,2012,3,6020,0.0007048585,0.0006048585,42.560001373,1165.5481976,1303.4349521,0.4520535373
82156,20121231,2012,3,2836,-0.018604744,-0.018704744,2.1500000954,93.56370415,100.7831171,0.0306069879
82171,20121231,2012,2,5141,0.0496741906,0.0495741906,61.400001526,38.927600967,34.175739746,1.1097241654
82176,20121231,2012,3,2082,0.0156739652,0.0155739652,6.3800001144,120.41612216,154.34842576,1.0552866617
82179,20121231,2012,3,2836,0.0054180315,0.0053180315,38.759998322,1048.3029146,1003.8228282,0.6024711846
82196,20121231,2012,1,1311,0.0499028154,0.0498028154,15.430000305,5971.3483981,5902.5098259,1.137236553
82212,20121231,2012,3,7361,0.1928460747,0.1927460747,12.859999657,462.39414766,494.3185014,0.4985582551
82234,20121231,2012,2,3861,0.0377358124,0.0376358124,3.1800000668,44.672640938,85.162047007,1.071872357
82251,20121231,2012,3,6020,-0.038584441,-0.038684441,21.899999619,79.78169861,78.3245,0.9695803838
82272,20121231,2012,1,8011,0.0065822359,0.0064822359,79,3936.254,3368.672505,0.5181055121
82279,20121231,2012,3,2033,-0.018721754,-0.018821754,30.979999542,332.97819618,314.40189635,1.1574732554
82281,20121231,2012,3,7370,0.2096774131,0.2095774131,1.2400000095,44.494920342,66.006321197,1.612015048
82287,20121231,2012,3,3571,0.1216595992,0.1215595992,14.220000267,548.2947703,460.26007709,0.701321714
82292,20121231,2012,1,6331,0.0689467192,0.0688467192,36.549999237,1629.143116,1762.3369881,1.6003912824
82298,20121231,2012,1,1381,-0.015072477,-0.015172477,69,9593.07,8220.7257885,0.6338814791
82307,20121231,2012,1,8092,0.0234259143,0.0233259143,108,10303.2,9233.9005339,0.3617505744
82486,20121231,2012,3,6410,0.0074705728,0.0073705728,71.279998779,3355.2208225,3386.0072689,0.2480690381
82508,20121231,2012,3,8731,-0.05118382,-0.05128382,28.719999313,2337.8941041,1962.6651678,0.3213437893
82513,20121231,2012,3,2830,0.0891611651,0.0890611651,53.049999237,3702.7307967,3785.4560223,0.0998151388
82515,20121231,2012,3,5090,0.0102649871,0.0101649871,41.88999939,1956.4305315,1887.6207973,0.2193510222
82518,20121231,2012,3,5810,-0.009852207,-0.009952207,8.1199998856,77.805838903,83.630820736,1.2531500873
82521,20121231,2012,3,3674,0.324444443,0.324344443,2.25,63.77175,176.92644591,1.1556118709
82526,20121231,2012,3,2834,0.0404441096,0.0403441096,12.609999657,184.82476497,195.87455388,0.2698641559
82530,20121231,2012,3,3559,0.0227847882,0.0226847882,3.9500000477,7.6037500918,5.7763801289,1.6629110695
82540,20121231,2012,1,1221,0.1880794764,0.1879794764,30.200000763,1888.0134477,2759.6908705,0.8265472315
82541,20121231,2012,3,3660,0.1648936719,0.1647936719,11.279999733,175.52807584,143.95470295,0.3546345613
82542,20121231,2012,2,3357,0.0782608911,0.0781608911,17.25,156.3885,119.32799828,0.7310409338
