X,bm_1,bm_2,bm_3,bm_4,bm_5
size_1,0.010176358427263459,0.017247225455537415,0.020301679691503535,0.022233444852433774,0.022990054656754463
size_2,0.003573471531407609,0.008871897279609384,0.010862494771438231,0.014192210608075363,0.013918255113004253
size_3,0.0012140804854217722,0.004506052865241094,0.009164371403988467,0.005800848786386443,0.011647998393110698
size_4,0.0026272069328236785,0.0055234871823722255,0.0058159274666758414,0.005612198277452624,0.005163344295785759
size_5,0.00241950795875961,-0.0005397410007102905,0.0016715231462574654,0.0046248570751572906,0.0025657444688652687
