date,Rm-Rf,SMB,HML,RMW,CMA,UMD,STR,Rf
2016-01-31,-0.02901379827317013,-0.005011147145929914,-0.025322900725670568,-0.012108708143506324,0.0025367059783687196,0.022182639304726443,0.017140606228271172,0.0013137982731701303
2016-02-29,-0.00291682325463901,-0.02159069354560411,0.03528446159104805,0.008006649027739931,-0.008538836399930964,-0.026434081949614115,-0.003015640470640472,0.00121682325463901
2016-03-31,0.04675440218961642,0.024336490879055945,-0.0017716546660558746,-0.017379072872422324,0.004667070498023118,-0.014819129659787794,-0.01335247420603388,0.0012455978103835808
2016-04-30,0.001963444641264764,0.045547049221250246,0.004305287465437381,-0.022044922991144786,-0.008002530579606273,-0.014154948340156348,0.0038549873540775076,0.0012365553587352363
2016-05-31,-0.004725867666681646,0.014460961931181522,-0.008220676983109666,-0.010197449512424716,0.0024672981877954846,0.03332504393744528,0.0017687110850073962,0.001225867666681646
2016-06-30,0.0020736703312315336,-0.0021423595155229875,-0.016365790764503122,-0.004962858911423505,0.00388614916303961,-0.00478228878519533,0.003876336762030761,0.0011263296687684665
2016-07-31,0.036856839207780115,0.05922235091724998,0.023963636298811722,-0.0031074109755282325,-0.012070665624125732,0.0024133080132321127,-0.020914745198660538,0.0010431607922198882
2016-08-31,0.0024510725762438255,-0.0366023879815904,0.04754456363726744,0.006299605836236934,-0.007596438500917027,0.004996394950190015,-0.009406189160298058,0.001048927423756174
2016-09-30,0.002900012641692925,0.036422518076913234,0.027539983732431026,0.005838422373886154,-0.0017549570372071624,0.006240122231822361,0.004695460568627442,0.0010999873583070752
2016-10-31,-0.023541966808861475,-0.053000588795889564,0.029275380548846035,0.02068930403849456,-0.01435655774710054,-0.02948931693404174,0.0133871861198748,0.001141966808861472
2016-11-30,-0.022055461278684588,-0.024358977599103288,0.06302574322194815,0.0081463209135052,-0.002629672681135335,0.005405522461711297,0.007640255753932811,0.0012554612786845887
2016-12-31,0.03189852332939235,0.02638862440453622,-0.002628502153001408,0.009815821748606637,0.003878794893450256,0.002299300900955613,-0.033006990633635366,0.0013014766706076486
2017-01-31,0.017758512283550725,-0.018110198184733053,0.015136889685995972,0.0009035291943828485,-0.010950414319033236,0.0015056962651585739,-0.001515610083886532,0.0012414877164492744
2017-02-28,-0.0014127118611395816,-0.0457109301866356,0.005906971456557865,0.012181079645118551,0.00013494457799064462,-0.029698829345892942,-0.006134187363401545,0.0012127118611395815
